TTPIA A/V Box,format,TTPIAavid,NORMALIZED_CALL_NO,ttpia reel #,#,of,#,BIB_ID,date / range,extent,medium,new title,creator,description note,TITLE,reformatting note,,YYYY,,MM,,DD,
AC 01,audio cassette,TTPIA_\,MFILM V10001 REEL 1641 FRAME NA,1641,01,of,03 c1,26261,1974,"(2 TAPES, 2CC)",audio,"narration of esg filmstrip ""building a micronesia nation"" history and political development in micronesia. in english and palauan version.",,,"NARRATION OF ESG FILMSTRIP ""BUILDING A MICRONESIA NATION"" HISTORY AND POLITICAL DEVELOPMENT IN MICRONESIA. IN ENGLISH AND PALAUAN VERSION.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1641 FRAME NA,1641,01,of,03 c2,26261,1974,"(2 TAPES, 2CC)",audio,"narration of esg filmstrip ""building a micronesia nation"" history and political development in micronesia. in english and palauan version.",,,"NARRATION OF ESG FILMSTRIP ""BUILDING A MICRONESIA NATION"" HISTORY AND POLITICAL DEVELOPMENT IN MICRONESIA. IN ENGLISH AND PALAUAN VERSION.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1641 FRAME NA,1641,02,of,03 c1,26261,1974,"(2 TAPES, 2CC)",audio,"narration of esg filmstrip ""building a micronesia nation"" history and political development in micronesia. in english and palauan version.",,,"NARRATION OF ESG FILMSTRIP ""BUILDING A MICRONESIA NATION"" HISTORY AND POLITICAL DEVELOPMENT IN MICRONESIA. IN ENGLISH AND PALAUAN VERSION.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1641 FRAME NA,1641,02,of,03 c2,26261,1974,"(2 TAPES, 2CC)",audio,"narration of esg filmstrip ""building a micronesia nation"" history and political development in micronesia. in english and palauan version.",,,"NARRATION OF ESG FILMSTRIP ""BUILDING A MICRONESIA NATION"" HISTORY AND POLITICAL DEVELOPMENT IN MICRONESIA. IN ENGLISH AND PALAUAN VERSION.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1641 FRAME NA,1641,03,of,03 c1,26261,1974,"(2 TAPES, 2CC)",audio,"narration of esg filmstrip ""building a micronesia nation"" history and political development in micronesia. in english and palauan version.",,,"NARRATION OF ESG FILMSTRIP ""BUILDING A MICRONESIA NATION"" HISTORY AND POLITICAL DEVELOPMENT IN MICRONESIA. IN ENGLISH AND PALAUAN VERSION.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1641 FRAME NA,1641,03,of,03 c2,26261,1974,"(2 TAPES, 2CC)",audio,"narration of esg filmstrip ""building a micronesia nation"" history and political development in micronesia. in english and palauan version.",,,"NARRATION OF ESG FILMSTRIP ""BUILDING A MICRONESIA NATION"" HISTORY AND POLITICAL DEVELOPMENT IN MICRONESIA. IN ENGLISH AND PALAUAN VERSION.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1700 FRAME NA,1700,01,of,01,26311,1975,"(1 TAPE, 22 MINUTES)",audio,"speech by senator john a. mangefel of yap state on the compact and polycarp basilius of palau. ponape special session, 4th congress.",,,"SPEECH BY SENATOR JOHN A. MANGEFEL OF YAP STATE ON THE COMPACT AND POLYCARP BASILIUS OF PALAU. PONAPE SPECIAL SESSION, 4TH CONGRESS.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1739 FRAME NA,1739,01,of,03 c1,26350,1968,(1 TAPE),audio,"discussion of the appraisal and condemnation of roi namur and other kwajalein islets. speeches identified except for maynard neas, ttpi land officer.",,,"DISCUSSION OF THE APPRAISAL AND CONDEMNATION OF ROI NAMUR AND OTHER KWAJALEIN ISLETS. SPEECHES IDENTIFIED EXCEPT FOR MAYNARD NEAS, TTPI LAND OFFICER.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1739 FRAME NA,1739,01,of,03 c2,26350,1968,(1 TAPE),audio,"discussion of the appraisal and condemnation of roi namur and other kwajalein islets. speeches identified except for maynard neas, ttpi land officer.",,,"DISCUSSION OF THE APPRAISAL AND CONDEMNATION OF ROI NAMUR AND OTHER KWAJALEIN ISLETS. SPEECHES IDENTIFIED EXCEPT FOR MAYNARD NEAS, TTPI LAND OFFICER.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1739 FRAME NA,1739,02,of,03 c1,26350,1968,(1 TAPE),audio,"discussion of the appraisal and condemnation of roi namur and other kwajalein islets. speeches identified except for maynard neas, ttpi land officer.",,,"DISCUSSION OF THE APPRAISAL AND CONDEMNATION OF ROI NAMUR AND OTHER KWAJALEIN ISLETS. SPEECHES IDENTIFIED EXCEPT FOR MAYNARD NEAS, TTPI LAND OFFICER.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1739 FRAME NA,1739,02,of,03 c2,26350,1968,(1 TAPE),audio,"discussion of the appraisal and condemnation of roi namur and other kwajalein islets. speeches identified except for maynard neas, ttpi land officer.",,,"DISCUSSION OF THE APPRAISAL AND CONDEMNATION OF ROI NAMUR AND OTHER KWAJALEIN ISLETS. SPEECHES IDENTIFIED EXCEPT FOR MAYNARD NEAS, TTPI LAND OFFICER.",,.,,,,,,
AC 01,audio cassette,,MFILM V10001 REEL 1739 FRAME NA,1739,03,of,03 c1,26350,1968,(1 TAPE),audio,"discussion of the appraisal and condemnation of roi namur and other kwajalein islets. speeches identified except for maynard neas, ttpi land officer.",,,"DISCUSSION OF THE APPRAISAL AND CONDEMNATION OF ROI NAMUR AND OTHER KWAJALEIN ISLETS. SPEECHES IDENTIFIED EXCEPT FOR MAYNARD NEAS, TTPI LAND OFFICER.",,.,,,,,,
